site_id,site_name,status,category,reason,collected
frontiersin-org-articles,Custom: frontiersin-org-articles,된다,,,1230
fss-or-kr-fss,Custom: fss-or-kr-fss,된다,,,500
ftc-go-kr-www,Custom: ftc-go-kr-www,된다,,,694
futureneurocentre-ie-our-research,Custom: futureneurocentre-ie-our-research,된다,,,455
ga-gov-au-data-pubs,Custom: ga-gov-au-data-pubs,된다,,,2243
garda-ie-en,Custom: garda-ie-en,된다,,,94
gb-go-kr-sub,Custom: gb-go-kr-sub,된다,,,406
gcsp-ch-publications,Custom: gcsp-ch-publications,된다,,,176
genome-gov-about-nhgri,Custom: genome-gov-about-nhgri,된다,,,42
genomecanada-ca-about,Custom: genomecanada-ca-about,된다,,,50
geoportal-statistics-gov-uk-search,Custom: geoportal-statistics-gov-uk-search,된다,,,346
gi-re-kr-home,Custom: gi-re-kr-home,된다,,,452
gichd-org-publications-resourc,Custom: gichd-org-publications-resourc,된다,,,266
github-com-orgs,Custom: github-com-orgs,된다,,,91
gnews-gg-go-kr-briefing,Custom: gnews-gg-go-kr-briefing,된다,,,500
gnewsonline-it-category,Custom: gnewsonline-it-category,된다,,,343
go-griffith-ie-browse,Custom: go-griffith-ie-browse,된다,,,1111
gob-mx-agricultura,gob.mx Archivo de Prensa — Agriculture,된다,,,729
gob-mx-bienestar,gob.mx Archivo de Prensa — Welfare,된다,,,729
