site_id,site_name,evidence,collected
ecologie-gouv-fr-presse,Custom: ecologie-gouv-fr-presse,ok(건강검진),4049
economie-fgov-be-nl,Custom: economie-fgov-be-nl,ok(건강검진),138
economy-ni-gov-uk-news,Custom: economy-ni-gov-uk-news,ok(건강검진),500
economy-ni-gov-uk-publications,Custom: economy-ni-gov-uk-publications,ok(건강검진),583
ed-gov-about,Custom: ed-gov-about,ok(건강검진),224
eda-admin-ch-eda,Custom: eda-admin-ch-eda,ok(건강검진),12
edi-admin-ch-de,Custom: edi-admin-ch-de,ok(건강검진),360
edoc-rki-de-handle,Custom: edoc-rki-de-handle,ok(건강검진),20
educacionfpydeportes-gob-es-prensahtml,Custom: educacionfpydeportes-gob-es-prensahtml,ok(건강검진),347
education-govt-nz-our-work,Custom: education-govt-nz-our-work,ok(건강검진),34
education-govt-nz-search,Custom: education-govt-nz-search,정밀검증 확정,66
education-ni-gov-uk-news,Custom: education-ni-gov-uk-news,ok(건강검진),503
edx-netl-doe-gov-group,Custom: edx-netl-doe-gov-group,ok(건강검진),100
efd-admin-ch-en,Custom: efd-admin-ch-en,ok(건강검진),500
efk-admin-ch-fr,Custom: efk-admin-ch-fr,ok(건강검진),26
ehesp-fr-espace-presse,Custom: ehesp-fr-espace-presse,정밀검증 확정,127
ehess-hal-science-search,Custom: ehess-hal-science-search,ok(건강검진),429
ejournals-epublishing-ekt-gr-indexphp,Custom: ejournals-epublishing-ekt-gr-indexphp,ok(건강검진),474
elocus-lib-uoc-gr-search,Custom: elocus-lib-uoc-gr-search,ok(건강검진),282
em-dk-aktuelt,Custom: em-dk-aktuelt,ok(건강검진),350
em-lyon-com-en,Custom: em-lyon-com-en,ok(건강검진),348
emep-int-mscw,Custom: emep-int-mscw,ok(건강검진),213
emsl-pnnl-gov-science,Custom: emsl-pnnl-gov-science,ok(건강검진),6
en-ird-fr-sections,Custom: en-ird-fr-sections,ok(건강검진),84
en-moj-gov-cn-lawsandregulationsht,Custom: en-moj-gov-cn-lawsandregulationsht,ok(건강검진),15
en-ndrc-gov-cn-policies,Custom: en-ndrc-gov-cn-policies,정밀검증 확정,52
en-nhc-gov-cn-publicationshtml,Custom: en-nhc-gov-cn-publicationshtml,ok(건강검진),9
en-nim-ac-cn-taxonomy,Custom: en-nim-ac-cn-taxonomy,ok(건강검진),303
enac-hal-science-search,Custom: enac-hal-science-search,ok(건강검진),549
enc-hal-science-search,Custom: enc-hal-science-search,ok(건강검진),509
energy-gov-management,Custom: energy-gov-management,ok(건강검진),388
energy-gov-open-government,Custom: energy-gov-open-government,ok(건강검진),10
energy-gov-search,Custom: energy-gov-search,ok(건강검진),191
eng-mod-gov-cn-2025xb,Custom: eng-mod-gov-cn-2025xb,ok(건강검진),10
english-cnipa-gov-cn-col,Custom: english-cnipa-gov-cn-col,ok(건강검진),353
english-mee-gov-cn-resources,Custom: english-mee-gov-cn-resources,정밀검증 확정,20
english-www-gov-cn-archive,Custom: english-www-gov-cn-archive,ok(건강검진),506
enpc-hal-science-search,Custom: enpc-hal-science-search,ok(건강검진),741
ens-hal-science-search,Custom: ens-hal-science-search,ok(건강검진),18340
ens-lyon-fr-lecole,Custom: ens-lyon-fr-lecole,ok(건강검진),154
ens-lyon-hal-science-search,Custom: ens-lyon-hal-science-search,ok(건강검진),1343
enscp-hal-science-search,Custom: enscp-hal-science-search,ok(건강검진),3517
enssib-hal-science-search,Custom: enssib-hal-science-search,ok(건강검진),12
environment-govt-nz-acts-and-regulations,Custom: environment-govt-nz-acts-and-regulations,ok(건강검진),315
environment-govt-nz-publications,Custom: environment-govt-nz-publications,ok(건강검진),249
environment-govt-nz-what-you-can-do,Custom: environment-govt-nz-what-you-can-do,ok(건강검진),58
envt-hal-science-search,Custom: envt-hal-science-search,ok(건강검진),1063
epa-ie-news-releases,Custom: epa-ie-news-releases,ok(건강검진),120
eprints-imtlucca-it-cgi,Custom: eprints-imtlucca-it-cgi,ok(건강검진),1461
eprints-soton-ac-uk-view,Custom: eprints-soton-ac-uk-view,ok(건강검진),259
espci-hal-science-search,Custom: espci-hal-science-search,ok(건강검진),22
esri-ie-publications,Custom: esri-ie-publications,ok(건강검진),531
esteri-it-it,Custom: esteri-it-it,ok(건강검진),5533
etera-ee-browse,Custom: etera-ee-browse,ok(건강검진),100403
ethz-ch-de,Custom: ethz-ch-de,ok(건강검진),203
etis-ee-portal,Custom: etis-ee-portal,ok(건강검진),138
exteriores-gob-es-en,Custom: exteriores-gob-es-en,ok(건강검진),55
fafo-no-en,Custom: fafo-no-en,ok(건강검진),322
fair-healthdata-be-search,Custom: fair-healthdata-be-search,ok(건강검진),10
federalregister-gov-documents,Custom: federalregister-gov-documents,ok(건강검진),5957
fhi-no-en,Custom: fhi-no-en,ok(건강검진),255
fi-se-en,Custom: fi-se-en,ok(건강검진),122
fibl-org-en,Custom: fibl-org-en,ok(건강검진),539
finance-ni-gov-uk-publications,Custom: finance-ni-gov-uk-publications,ok(건강검진),336
flore-unifi-it,Custom: flore-unifi-it,ok(건강검진),14038
fm-dk-udgivelser,Custom: fm-dk-udgivelser,ok(건강검진),100
fmi-ch-research,Custom: fmi-ch-research,ok(건강검진),818
fmn-dk-da,Custom: fmn-dk-da,ok(건강검진),848
forest-go-kr-kfsweb,Custom: forest-go-kr-kfsweb,ok(건강검진),931
forskningsradet-no-om-forskningsradet,Custom: forskningsradet-no-om-forskningsradet,정밀검증 확정,356
frontiersin-org-articles,Custom: frontiersin-org-articles,ok(건강검진),1230
